GeneA	GeneB	Digene_Score
EEF2	RPS4Y1	0.9786
TRA2B	U2AF1L5	0.9786
COPS5	ELOC	0.9785
PSMA1	SEM1	0.9785
PSMD3	SEM1	0.9785
RPS4Y1	RPS24	0.9785
ASB6	ELOC	0.9784
ETF1	RPS4Y1	0.9784
MUC19	ST6GAL1	0.9784
NCBP1	U2AF1L5	0.9784
RPS4Y1	RPS18	0.9784
SRRM1	U2AF1L5	0.9784
FCGR2C	LILRB1	0.9783
HNRNPL	U2AF1L5	0.9783
SRRT	U2AF1L5	0.9783
SYF2	U2AF1L5	0.9783
CDC5L	U2AF1L5	0.9782
ELAVL1	U2AF1L5	0.9782
ELOC	PSME2	0.9782
HLA-DRB1	HLA-DRB4	0.9782
ISY1	U2AF1L5	0.9782
NLGN4Y	NRXN1	0.9782
ADRM1	SEM1	0.9781
CASTOR1	CASTOR2	0.9781
EIF5B	RPS4Y1	0.9781
CCNT2	ELOC	0.978
PSMA6	SEM1	0.978
RPS4Y1	RPS26	0.978
RPS4Y1	SSR2	0.978
SRRM2	U2AF1L5	0.978
THEG	THEGL	0.978
ELOC	MLLT1	0.9778
HLA-C	KIR2DS4	0.9778
HNRNPC	U2AF1L5	0.9778
PTTG1	SEM1	0.9778
RPL8	RPS4Y1	0.9778
NEDD8	SEM1	0.9777
CASC3	U2AF1L5	0.9776
CPSF4	U2AF1L5	0.9776
ELOC	NEDD8	0.9776
RPS4Y1	RPS27A	0.9776
ELOC	NELFCD	0.9775
ELOC	PSMD9	0.9775
EIF2S2	RPS4Y1	0.9773
ELOC	UBB	0.9773
POLDIP3	U2AF1L5	0.9772
ANGPTL3	ANGPTL8	0.9771
FUS	U2AF1L5	0.9771
RBM22	U2AF1L5	0.9771
CSTF3	U2AF1L5	0.977
PSMD4	SEM1	0.977
PTBP1	U2AF1L5	0.9769
RBMY1C	TRA2B	0.9769
CDC26	SEM1	0.9768
ELOC	ERCC3	0.9768
ELOC	PSMA7	0.9768
SEM1	UBE2C	0.9768
ELOC	PSMD13	0.9766
HLA-B	KIR2DS4	0.9766
HNRNPA3	U2AF1L5	0.9766
UBE2NL	UBE2V2	0.9766
BOLL	DAZ1	0.9765
HNRNPH1	U2AF1L5	0.9765
PSMA3	SEM1	0.9765
PSMD1	SEM1	0.9765
SEPTIN2	SEPTIN6	0.9765
CDC40	U2AF1L5	0.9764
CDK9	ELOC	0.9764
POLR2B	U2AF1L5	0.9764
GALNT12	MUC19	0.9763
SRSF7	U2AF1L5	0.9763
PABPC1	U2AF1L5	0.9762
CCL3L1	CXCR1	0.9761
ELOC	UBE2D3	0.9761
PSMA5	SEM1	0.9761
ANGPTL8	FURIN	0.976
ELOC	PSMB7	0.976
ELOC	VHL	0.976
HNRNPA1	RBMY1C	0.976
PSMC6	SEM1	0.976
PSMD12	SEM1	0.976
RPLP2	RPS4Y1	0.976
DAZ4	DAZL	0.9759
HNRNPM	U2AF1L5	0.9759
PSMA7	SEM1	0.9759
PSMD2	SEM1	0.9759
EIF3B	RPS4Y1	0.9757
ELOC	WSB1	0.9757
HNRNPA1	U2AF1L5	0.9757
HNRNPD	U2AF1L5	0.9757
PABPN1	U2AF1L5	0.9757
PSMD6	SEM1	0.9757
RPS3	RPS4Y1	0.9757
HNRNPF	U2AF1L5	0.9756
PPIE	U2AF1L5	0.9756
ELOC	NELFB	0.9755
HNRNPH2	U2AF1L5	0.9755
ELOC	GTF2H3	0.9753
HLA-B	KIR3DS1	0.9753
DDX42	U2AF1L5	0.9752
HLA-DRB3	PTPRC	0.9751
PSMD14	SEM1	0.9751
RNPS1	U2AF1L5	0.9751
HLA-C	KIR2DS1	0.975
ANAPC15	SEM1	0.9749
ELOC	PAF1	0.9749
CHERP	U2AF1L5	0.9748
HLA-DPA1	HLA-DRB4	0.9748
POLR2G	U2AF1L5	0.9748
FCGR2C	LILRB3	0.9747
GALNT1	MUC19	0.9747
HLA-C	KIR3DS1	0.9747
POLR2D	U2AF1L5	0.9747
CCL3L1	CXCR2	0.9746
EIF4A3	U2AF1L5	0.9745
ELOC	PSMB10	0.9745
FCGR2C	OSCAR	0.9744
CENPV	CENPVL2	0.9743
DHX9	U2AF1L5	0.9743
EFTUD2	U2AF1L5	0.9743
EIF1	EIF2S3B	0.9743
ASB3	ELOC	0.9742
EIF2S1	RPS4Y1	0.9742
ELOC	POLR2H	0.9742
HNRNPUL1	U2AF1L5	0.9742
PSMD7	SEM1	0.9742
U2AF1L5	U2AF2	0.9742
PSME1	SEM1	0.9741
GALNT12	MUC2	0.974
