GeneA	GeneB	Digene_Score
HLA-DRB3	KIF15	0.9194
HLA-DRB3	KIF26A	0.9194
OR8U9	PRKACA	0.9194
SLC9A3R2	SRY	0.9194
CCL3L1	CEBPB	0.9193
EIF1AY	EIF3G	0.9193
CD1C	KIR3DS1	0.9192
DLGAP4	SHANK3	0.9191
PPP2R5B	TBL1Y	0.9191
CASP12	VCP	0.919
DBNL	SHANK3	0.919
CD1B	KIR3DS1	0.9188
NANOGP8	SOX2	0.9188
KCNJ5	TMIGD3	0.9187
EPB41L3	NLGN4Y	0.9185
HLA-DRB3	KIF2C	0.9185
HLA-DRB4	PAG1	0.9185
KIR2DL2	PTPN11	0.9185
NLGN2	SHANK3	0.9185
APOBEC3F	ELOC	0.9183
BECN2	NRBF2	0.9183
CD1D	KIR2DS2	0.9183
HECW1	SEM1	0.9183
HLA-DRB3	SEC24B	0.9183
DLG3	SHANK3	0.9182
AP1G1	HLA-DRB3	0.9181
CD1C	KIR2DS2	0.9181
EIF1AY	EIF5	0.9181
ARRB1	OR52E1	0.918
ARRB2	OR52E1	0.918
HLA-DRB4	SH3GL2	0.918
PRXL2A	PRXL2C	0.9179
TCP1	TUBA4B	0.9176
CYP2C9	GSTT1	0.9175
SHANK3	SHARPIN	0.9175
GRM5	SHANK3	0.9174
SEM1	YY1	0.9173
ARF1	HLA-DRB4	0.9172
CDKN1A	KIR2DL2	0.9172
GRK3	OR52E1	0.9172
MUC2	SP1	0.9172
CCT3	TUBA4B	0.9171
HLA-DRB4	PTPN11	0.9171
TEX13A	TEX13C	0.9171
DDX3Y	DDX6	0.9169
CRTC2	SIK1B	0.9168
DLG2	SHANK3	0.9167
PAK2	SEM1	0.9167
TUBA4B	TUBB2B	0.9167
PPP2R5C	TBL1Y	0.9166
TEX13A	TEX13D	0.9166
TEX13C	TEX13D	0.9166
TUBA4B	TUBB4A	0.9166
CTSS	HLA-DRB4	0.9165
HLA-DRB3	SEC23A	0.9165
OR4A8	REEP1	0.9165
OR4K3	REEP1	0.9165
OR4Q2	REEP1	0.9165
OR4A8	RTP1	0.9164
OR4A8	RTP2	0.9164
OR4K3	RTP1	0.9164
OR4K3	RTP2	0.9164
OR4Q2	RTP1	0.9164
OR4Q2	RTP2	0.9164
ACTR10	HLA-DRB3	0.9163
CAPZA1	HLA-DRB4	0.9163
BECN1	BECN2	0.9162
GNB1	OR52E1	0.9162
RELA	SEM1	0.9162
HLA-DRB4	PRKCQ	0.9159
KIR2DS5	ULBP3	0.9159
ASB11	ELOC	0.9158
CD1E	KIR2DS1	0.9158
FCGR2C	MAPK11	0.9158
KCNJ9	TMIGD3	0.9158
CAPZA2	HLA-DRB4	0.9156
GNG7	OR52E1	0.9156
GNG13	OR52E1	0.9156
HLA-DRB3	KIF3A	0.9156
OR4C45	RTP1	0.9156
RHOB	RIPOR2	0.9156
GNG13	OR8U9	0.9155
HLA-DRB3	RFX5	0.9155
EIF1AY	EIF3D	0.9153
HLA-DRB3	SPTBN2	0.9153
CTNNA1	PCDH11Y	0.9151
B3GNT4	MUC2	0.915
CFP	KIR2DS2	0.9149
PPP2CA	TBL1Y	0.9148
AP1M1	HLA-DRB4	0.9147
DDX3Y	UTY	0.9146
HLA-DRB4	PDCD1LG2	0.9146
KIR2DS2	ULBP3	0.9146
RPS4Y1	SECISBP2	0.9146
SHANK3	SPTBN2	0.9146
DCTN2	HLA-DRB3	0.9145
CD1A	KIR3DS1	0.9143
HLA-DRB3	NFYC	0.9143
NANOGP8	NPM1	0.9143
NUMB	SEM1	0.9143
DCTN4	HLA-DRB3	0.9141
GRK6	TMIGD3	0.9141
OR4C45	REEP1	0.9141
CTNNA2	PCDH11Y	0.914
DYNC1H1	HLA-DRB3	0.9139
CDH22	PCDH11Y	0.9138
EPB41L2	NLGN4Y	0.9137
LILRA3	LYN	0.9137
MUC19	ST3GAL1	0.9137
SRY	ZNF208	0.9137
CCL3L1	REL	0.9136
HLA-DRB4	KLC1	0.9136
CD3E	HLA-DRB4	0.9135
TRAPPC2B	TRAPPC2L	0.9135
CCDC22	ELOC	0.9132
CYP2C8	GSTT1	0.9132
TBCD	TUBA4B	0.9132
DYNC1I2	HLA-DRB3	0.9131
DYNLL1	HLA-DRB4	0.9131
HLA-DRB3	KIF5A	0.9131
GNG13	OR2W5	0.913
EIF1AY	EIF3F	0.9129
GNAL	OR52E1	0.9129
HLA-DRB3	KIF2B	0.9129
AP1S1	HLA-DRB4	0.9128
AP2A2	HLA-DRB4	0.9128
CYP2C19	GSTT1	0.9128
CTSV	HLA-DRB4	0.9127
CAPZA3	HLA-DRB4	0.9126
CCT6A	TUBA4B	0.9126
OR11H7	RTP1	0.9125
ASB5	ELOC	0.9124
EIF1AY	EIF3B	0.9124
OR2J1	REEP1	0.9124
CD1E	KIR3DS1	0.9123
OR52E1	PRKACA	0.9123
SEPTIN2	STX7	0.9123
CAPZA3	HLA-DRB3	0.9122
CENPE	HLA-DRB3	0.9119
CCL3L1	IRF1	0.9118
GFRA4	SHANK3	0.9118
RPP40	RPS4Y1	0.9118
CCT2	TUBA4B	0.9117
CFP	KIR2DS1	0.9117
CDH1	PCDH11Y	0.9116
CELSR1	PCDH11Y	0.9114
GRK1	TMIGD3	0.9114
GRM1	SHANK3	0.9114
NANOGP8	REST	0.9114
AR	KDM5D	0.9111
HLA-DRB3	KIF4A	0.9111
HLA-DRB4	PTPRJ	0.9111
TBCC	TUBA4B	0.9111
CFP	KIR2DS5	0.9109
GNG4	TMIGD3	0.9109
HLA-DRB4	RAB7A	0.9108
MED20	TBL1Y	0.9108
SKP1	TBL1Y	0.9108
DCTN6	HLA-DRB4	0.9106
SHANK3	YWHAE	0.9106
CDH5	PCDH11Y	0.9105
CTNNA3	PCDH11Y	0.9105
KIR2DS5	MICA	0.9105
GNGT1	OR2J1	0.9103
HLA-DRB3	KIF3C	0.9103
PPP6C	TBL1Y	0.9102
CD40LG	SEM1	0.9101
SMIM10	SMIM10L2B	0.9101
GOSR2	TRAPPC2B	0.91
CCL3L1	CTCF	0.9099
USP9Y	UTY	0.9097
ASB4	ELOC	0.9096
GALNT9	MUC19	0.9095
GMCL1	GMCL2	0.9095
ACTR1A	HLA-DRB4	0.9093
DDX3Y	KDM5D	0.9091
DDX5	EPOP	0.9091
OR2J1	PRKACA	0.9086
ARRB2	OR11H7	0.9085
MUC2	SP3	0.9085
EED	RIOX1	0.9084
GNGT1	OR51H1	0.9084
AP1S3	HLA-DRB4	0.9083
CCL3L1	NFKBIA	0.9083
RIOK3	RPS4Y1	0.9083
GNG13	OR4E1	0.9082
TRAPPC2B	TRAPPC4	0.9081
A4GNT	MUC19	0.908
OR52E1	PRKACB	0.9078
ARRB1	OR11H7	0.9076
GNB1	OR51H1	0.9076
ATG9B	PRKN	0.9075
GNG13	OR11H7	0.9075
HLA-DRB4	LGMN	0.9075
GOLGA2	TRAPPC2B	0.9074
OR51H1	RTP1	0.9074
PCDH10	PCDH11Y	0.9074
CNBP	DDX3Y	0.9072
CRYAA	CRYAA2	0.9072
CRYAA2	CRYAB	0.9072
CRYAA2	HSPB6	0.9072
DDX58	SIGLEC16	0.9072
SMIM10	SMIM10L1	0.9072
HLA-DRB3	RFXAP	0.9071
HOMER3	NLGN4Y	0.9071
MGAM2	SI	0.9071
AP1M2	HLA-DRB3	0.9069
AP1G1	HLA-DRB4	0.9068
CFP	KIR3DS1	0.9066
KIR2DS2	MICA	0.9066
PCDH11Y	PCDH15	0.9066
RPP25	RPS4Y1	0.9065
EIF1AY	EIF3E	0.9064
FCGR2C	MAPK13	0.9064
HLA-DRB4	KIF22	0.9064
KCNJ3	TMIGD3	0.9064
HLA-DRB3	RFXANK	0.9063
OR2J1	RTP1	0.9063
OR51H1	REEP1	0.9062
DCTN1	HLA-DRB4	0.9061
ELOC	ROBO3	0.9061
GDI1	TRAPPC2B	0.9061
DYNC1LI2	HLA-DRB4	0.906
GNB1	OR52Z1	0.906
HLA-DRB4	SEC24B	0.9059
AP2A1	HLA-DRB4	0.9058
DGKQ	ELOC	0.9058
KCNJ6	TMIGD3	0.9058
DYNC1H1	HLA-DRB4	0.9056
MGAM	MGAM2	0.9056
OR52E1	PRKACG	0.9054
EIF1AY	EIF3H	0.9053
NANOGP8	TRRAP	0.9053
PPP4R2	PPP4R3C	0.9053
OR51H1	RTP2	0.9052
RPS4Y1	TGFBRAP1	0.9052
UBE2L5	WWP2	0.9052
CAPZB	HLA-DRB4	0.9051
TRAPPC1	TRAPPC2B	0.9051
MYBBP1A	NANOGP8	0.9049
OR2J1	PRKACG	0.9049
GNG7	OR52Z1	0.9048
GNG13	OR52Z1	0.9048
DLG2	NLGN4Y	0.9047
DYNC1LI1	HLA-DRB4	0.9047
HLA-DRB4	OSBPL1A	0.9046
MYMK	MYMX	0.9046
HLA-DRB3	NFYA	0.9044
AP1M2	HLA-DRB4	0.9043
CASP12	PDCD6	0.9043
DCTN6	HLA-DRB3	0.9041
GLYATL1B	GLYATL3	0.9041
HLA-DRB4	HLA-DRB5	0.9041
GNAL	OR51H1	0.9039
BRCA1	NANOGP8	0.9038
OR51H1	PRKACA	0.9038
OR2W5	RTP2	0.9037
GNAL	OR52Z1	0.9036
CCDC8	PNMA6F	0.9035
CD4	SEM1	0.9035
NANOGP8	RELA	0.9035
ELOC	FBXO45	0.9034
GNGT1	TMIGD3	0.9034
RNF8	UBE2NL	0.9033
SEPTIN2	STX12	0.9033
EPB41	NLGN4Y	0.9032
GNB1	OR2J1	0.9032
HDAC1	NANOGP8	0.9031
AP2S1	HLA-DRB4	0.903
EPOP	USP7	0.9028
OR11H7	REEP1	0.9028
CCT5	TUBA4B	0.9026
HLA-DRB4	KIF2B	0.9026
OR4C45	RTP2	0.9023
BECN2	DAPK3	0.9022
GORASP1	TRAPPC2B	0.9021
GRK2	OR52Z1	0.9021
GRK7	TMIGD3	0.9021
CDH23	PCDH11Y	0.9019
DCTN4	HLA-DRB4	0.9019
DLGAP2	NLGN4Y	0.9019
MED18	TBL1Y	0.9019
EPOP	MTF2	0.9018
NANOGP8	RUVBL2	0.9017
AP2M1	HLA-DRB4	0.9016
KDM6A	UTY	0.9016
P3H3	P3H4	0.9016
GRIN2A	SHANK3	0.9013
CENPE	HLA-DRB4	0.9012
FRRS1	REELD1	0.9012
NANOGP8	ZNF281	0.9011
CCL3L1	IRF8	0.901
CYP2D7	HSD11B1	0.901
ELOC	ZYG11B	0.901
KIR2DS1	MICA	0.901
REELD1	SPON1	0.901
OR52Z1	PRKACA	0.9009
CLNK	FCGR2C	0.9008
OR51H1	PRKACB	0.9008
PPP4R3B	PRKACB	0.9008
CREB3L4	SIK1B	0.9007
HLA-DRB4	KIF4B	0.9007
CDHR1	PCDH11Y	0.9005
CLTA	HLA-DRB4	0.9005
HLA-DRB4	PDCD1	0.9005
HLA-DRB4	KIF26A	0.9004
FAM220A	SMIM10L2A	0.9003
NANOGP8	SMARCA2	0.9003
NANOG	TBL1Y	0.9002
SEPTIN2	UBE2L3	0.9002
PCDH8	PCDH11Y	0.9001
HOMER1	NLGN4Y	0.9
